head_entity	relation	tail_entity
development	isa	biomedical text
mutation	isa	gene
covid-19	diagnoses	patients
platelets	part_of	blood
colorectal cancer	isa	cancer
fibronectin	part_of	extracellular matrix
insulin	treats	diabetes mellitus
copd	affects	mortality
eeg	measures	brain activity
bladder	part_of	urogenital system
sle	causes	autoimmune disease
serum	isa	blood
adolescents	measures	adults
autophagy	isa	cellular process
megakaryocyte	isa	cell
chromosome	isa	genetic material
chromosome	ingredient_of	genome
brain	isa	organ
glucose	ingredient_of	blood
corticosterone	binds_to	hippocampus
corticosterone	binds_to	hypothalamus
corticosterone	binds_to	anterior pituitary
corticosterone	binds_to	glucocorticoid
corticosterone	binds_to	blocking
corticosterone	binds_to	inhibition
glucocorticoid receptor	interacts_with	glucocorticoids
acrylamide	causes	cancer
acrylamide	affects	ovarian cancer
acrylamide	affects	endometrial cancer
acrylamide	affects	renal cell cancer
acrylamide	affects	oral cavity cancer
stroke	part_of	cardiovascular disease
computed tomography	affects	ray tracing
obesity	isa	metabolic disorder
pituitary	part_of	endocrine system
pulmonary microembolism	causes	lung ventilation
pulmonary microembolism	ingredient_of	lung tissue
pulmonary microembolism	part_of	respiratory system
angiopoietin-2	diagnoses	indirect acute lung injury
angiopoietin-2	causes	indirect acute lung injury
angiopoietin-2	treats	indirect acute lung injury
ethanol	diagnoses	alcohol use disorder
est3	causes	telomere length maintenance
est3	diagnoses	telomere length maintenance
est3	ingredient_of	telomerase complex
est3	part_of	telomerase complex
schizophrenia	affects	brain function
cat	interacts_with	immune system
diabetes	affects	obesity
antibodies	measured_by	immunocytochemistry
neutrophils	interacts_with	bacteria
metabolism	isa	metabolic process
chromosomes	diagnoses	aneuploidy
chromosomes	diagnoses	polyploidy
foot-and-mouth disease virus	causes	foot-and-mouth disease
sulfur mustard	causes	acute lung injury
obesity	causes	diabetes
co2 laser	causes	tissue damage
hiv	causes	opportunistic infections
hiv	causes	cardiovascular disease
hiv	causes	cerebrovascular disease
hiv	causes	infections
hiv	causes	end-stage renal disease
hiv	causes	liver disease
hiv	causes	psychiatric disorders
hiv	causes	neurologic disorders
hiv	causes	respiratory disease
hiv	causes	skin disorders
hiv	causes	digestive disorders
hiv	causes	eye disorders
hiv	causes	musculoskeletal disorders
hiv	causes	genitourinary disorders
hiv	causes	hematologic disorders
qol	measures	quality of life
schistosomiasis	isa	disease
hiv	causes	hiv infection
nasal polyposis	unknown	nasal polyp tissue
nasal polyposis	unknown	nasal mucosal biopsies
nasal polyposis	unknown	viruses
nasal polyposis	unknown	epstein-barr virus
nasal polyposis	unknown	herpes simplex virus
nasal polyposis	unknown	adenovirus type v
nasal polyposis	unknown	chlamydia trachomatis
nasal polyposis	unknown	viral etiology
hcv	causes	chronic liver disease
amoxicillin	causes	bacterial infection
dementia	causes	Alzheimer's disease
psychomotor retardation	measured by	actigraphy
psychomotor retardation	measured by	clinical judgement
multiple sclerosis	affects	central nervous system
acute myocardial infarction	causes	coronary artery disease
coracoacromial arch	decompressed	soft tissue
coracoacromial arch	decompressed	anterior acromioplasty
coracoacromial arch	decompressed	rotator cuff surgery
coracoacromial arch	decompressed	clinical finding
coracoacromial arch	decompressed	coracoplasty
systemic lupus erythematosus	affects	immune system
radon	causes	lung cancer
schistosoma mansoni	causes	schistosomiasis
porfiromycin	diagnoses	tumor cells
porfiromycin	part_of	combination regimens
porfiromycin	associated_with	hypoxic cells
porfiromycin	interacts_with	radiation
epstein-barr virus	causes	infectious mononucleosis
osteoporosis	treats	teriparatide
osteoporosis	treats	denosumab
osteoporosis	treats	abaloparatide
osteoporosis	treats	romosozumab
breastfeeding	interacts_with	infant
cancer	causes	disease
cancer	diagnoses	disease
cancer	part_of	disease
cancer	manifestation_of	disease
staphylococcus	isa	bacteria
fentanyl	treats	pain
peritoneal dialysis	diagnoses	kidney disease
peritoneal dialysis	ingredient_of	dialysis treatment
peritoneal dialysis	part_of	dialysis treatment
peritoneal dialysis	manifestation_of	impaired kidney function
peritoneal dialysis	associated_with	kidney failure
peritoneal dialysis	causes	kidney disease
plasma membrane	part_of	cell membrane
cell membrane	part_of	cell
glioma	diagnoses	brain tumor
hiv	diagnoses	human immunodeficiency virus infection
styrene oxide	affects	dna
fibrinogen	isa	protein
cat	diagnoses	hyperthyroidism
cat	causes	exposure to radiation
cat	causes	exposure to water pollution
mammography	diagnoses	breast cancer
obesity	causes	overweight
pax6	isa	gene
enzyme	isa	protein
indomethacin	treats	inflammation
mortality	isa	disease
copd	part_of	chronic obstructive pulmonary disease
n-bromosuccinimide	affects	amino acid analysis
gene	isa	protein
insulin	affects	blood glucose levels
ddt	ingredient_of	pesticide
ddd	ingredient_of	pesticide
ddoh	ingredient_of	pesticide
ddp	ingredient_of	pesticide
obesity	associated_with	metabolic syndrome
hypertension	manifestation_of	high blood pressure
calcitonin	isa	hormone
apoptosis	diagnoses	cell death
interleukin-2	isa	cytokine
mirna	diagnoses	rheumatic heart disease
mirna	treats	rheumatic heart disease
mirna	causes	rheumatic heart disease
desiccant	interacts_with	pyrethrins
erythrocyte	isa	cell
arsenic	manifestation_of	skin lesions
egfr	isa	gene
pacap38	affects	insulin secretion
human milk	diagnoses	environmental contaminants
human milk	affects	nutrition
human milk	ingredient_of	food
human milk	causes	seafood
patient	measured_by	imaging
nrf2	isa	transcription factor
cancer	causes	mortality
obesity	causes	insulin resistance
diabetes	affects	cardiovascular disease
asthma	causes	bronchial asthma
adhd	affects	attention deficit hyperactivity disorder
anemia	affects	iron deficiency
anemia	causes	iron deficiency
collagen	isa	protein
hip	part_of	body
levodopa	treats	parkinson's disease
triple-negative breast cancer	causes	tumor progression
triple-negative breast cancer	causes	tumor metastasis
triple-negative breast cancer	causes	tumor invasion
mycosis fungoides	affects	skin
pregnancy	affects	fetus
peritonitis	causes	inflammation
ubiquitin	interacts_with	ribosomal proteins
retinitis pigmentosa	causes	retinal degeneration
platelet	affects	platelet aggregation
interleukin-1	causes	inflammation
cadmium	causes	toxicity
wsx-1	measurement_of	proliferation
microglia	part_of	central nervous system
microvascular decompression	treats	right abducens nerve palsy
obesity	measurement_of	body mass index
legionella pneumophila	causes	pneumonia
disease	diagnoses	patient
fever	affects	body temperature
streptococcus pneumoniae	causes	pneumonia
dipyrone	causes	pain
dipyrone	affects	pain
dipyrone	diagnoses	pain
dipyrone	ingredient_of	pharmaceutical preparations
amoxicillin	causes	bacterial infections
liver	diagnoses	liver disease
doxorubicin	treats	cancer
identification	measures	bone remodeling
skeletal muscle	isa	muscle tissue
coxiella burnetii	causes	q fever
huntington's disease	diagnoses	neurodegenerative disorder
platelet	causes	thrombosis
giardia lamblia	causes	giardiasis
esophagus	part_of	digestive system
cardiac output	measures	cardiovascular function
expression	isa	gene expression
mortality	causes	cardiovascular diseases
cancer	ingredient_of	tumor
perfusion	ingredient_of	microbubbles
perfusion	affects	vascularity
diabetes	causes	hyperglycemia
systolic blood pressure	measures	blood pressure
diastolic blood pressure	measures	blood pressure
spontaneously hypertensive rats	affects	blood pressure
cho cells	ingredient_of	cell cycle
vitamin a	isa	vitamin
bariatric surgery	causes	weight loss
tiaprofenic acid	ingredient_of	medication
acute coronary syndromes	isa	cardiovascular disease
hiv	diagnoses	aids
hiv	manifestation_of	aids
hiv	part_of	acquired immune deficiency syndrome
continuous arteriovenous hemofiltration	diagnoses	cardiac arrest
continuous arteriovenous hemofiltration	diagnoses	myocardial infarction
continuous arteriovenous hemofiltration	diagnoses	heart failure
continuous arteriovenous hemofiltration	diagnoses	cardiac arrhythmia
continuous arteriovenous hemofiltration	diagnoses	cardiac dysrhythmia
diphtheria	isa	disease
pancreatic inflammation	causes	diabetes
covid-19	diagnoses	chest x-ray
covid-19	causes	pneumonia
covid-19	causes	acute respiratory distress syndrome
covid-19	causes	severe acute respiratory syndrome
covid-19	affects	respiratory failure
covid-19	affects	respiratory acidosis
covid-19	affects	respiratory alkalosis
covid-19	diagnoses	pco2
mitochondrial	isa	organelle
ppi	causes	osteoarthritis
ppi	diagnoses	osteoarthritis
neuroblastoma	causes	cancer
malaria	causes	mortality
imatinib	treats	chronic myeloid leukemia
putamen	part_of	brain
sorafenib	causes	skin toxicity
sorafenib	causes	hypertension
sorafenib	treats	advanced hepatocellular carcinoma
sorafenib	diagnoses	hepatocellular carcinoma
sorafenib	causes	fatigue
sorafenib	causes	hypokalemia
sorafenib	causes	rash
sorafenib	causes	dry skin
sorafenib	causes	pruritus
sorafenib	causes	photosensitivity
sorafenib	causes	arthralgia
sorafenib	causes	myalgia
sorafenib	causes	dysgeusia
sorafenib	causes	dyspnea
sorafenib	causes	constipation
sorafenib	causes	dehydration
sorafenib	causes	hyperkalemia
sorafenib	causes	hypocalcemia
sorafenib	causes	hypomagnesemia
sorafenib	causes	hypophosphatemia
sorafenib	causes	hypernatremia
autophagy	affects	lafora progressive myoclonus epilepsy
anesthesia	interacts_with	total hip replacement
heart failure	causes	cardiovascular disease
zinc	ingredient_of	diet
sarcoidosis	affects	lung
poliomyelitis	causes	paralysis
legionella pneumophila	causes	nosocomial legionnaires disease
amoxicillin	treats	bronchitis
sertraline	treats	depression
elisa	ingredient_of	immunoblotting assay
elisa	part_of	immunoblotting assay
pertussis	ingredient_of	vaccine
pregnancy	affects	pregnancy outcomes
pregnancy	measured_by	gestational age
pregnancy	manifestation_of	preterm birth
pregnancy	associated_with	pregnancy complication
pregnancy	causes	pregnancy complication
carnitine	deficiency	myopathy
carnitine	deficiency	lipid storage myopathy
carnitine	deficiency	fatty acid oxidation disorder
carnitine	deficiency	fatty acid metabolism disorder
carnitine	deficiency	muscle fibers
carnitine	deficiency	oxidation rate
carnitine	deficiency	muscle samples
interleukin-6	isa	cytokine
haemodialysis	ingredient_of	renal replacement therapy
4-nitrophenol	ingredient_of	medium
3-methyl-4-nitrophenol	ingredient_of	medium
arsenic	causes	arsenic toxicity
phlip-ss-dox	affects	tumor cells
phlip-ss-dox	causes	tumor cells
gene	causes	disease
gene	diagnoses	disease
gene	manifestation_of	phenotype
mitochondria	isa	organelle
dna	ingredient_of	genome
liver	part_of	digestive system
extremely low birth weight infant	affects	intestinal perforation
estrogen	affects	reproductive system
disease	affects	patients
hiv	affects	acquired immunodeficiency syndrome
hiv	associated_with	acquired immunodeficiency syndrome
hiv	measures	acquired immunodeficiency syndrome
hiv	ingredients	acquired immunodeficiency syndrome
hiv	causes	acquired immunodeficiency syndrome
hiv	part_of	acquired immunodeficiency syndrome
esophageal carcinoma	predicts	tumor recurrence
esophageal carcinoma	predicts	tumor metastasis
esophageal carcinoma	predicts	tumor progression
esophageal carcinoma	predicts	tumor regression
esophageal carcinoma	predicts	tumor resistance
esophageal carcinoma	predicts	tumor sensitivity
hiv-1	diagnoses	hiv infection
rheumatoid arthritis	affects	joints
salmonella	causes	foodborne illness
virus	isa	disease
smoking	diagnoses	tobacco use disorder
multiple myeloma	diagnoses	cancer
folate	causes	cancer
folate	diagnoses	folate deficiency
folate	causes	cancer chemotherapy
hypertension	causes	stroke
hypertension	measured_by	blood pressure
cholesterol	causes	coronary heart disease
obesity	causes	childhood obesity
human immunodeficiency virus type 1	causes	immunodeficiency
human immunodeficiency virus type 1	diagnoses	immunodeficiency
human immunodeficiency virus type 1	affects	immune system
human immunodeficiency virus type 1	causes	acquired immunodeficiency syndrome
human immunodeficiency virus type 1	diagnoses	acquired immunodeficiency syndrome
plasmodium berghei	causes	malaria
glucose	manifestation_of	hyperglycemia
salvia miltiorrhiza	part_of	medicinal plant
inflammation	causes	pain
mycobacterium tuberculosis	diagnoses	tuberculosis
obesity	affects	cardiovascular disease
obesity	affects	hypertension
obesity	affects	metabolic syndrome
obesity	affects	infertility
hiv-1	manifestation_of	acquired immune deficiency syndrome
glutamate	isa	neurotransmitter
septic pulmonary embolism	causes	septic embolism
septic pulmonary embolism	diagnoses	septic embolism
colorectal carcinoma	causes	cancer
trna	ingredient_of	cellular physiology
trna	ingredient_of	cellular immunology
trna	ingredient_of	cellular pathology
ecg	measures	electrocardiogram
giant aneurysm	causes	cerebrovascular disease
giant aneurysm	causes	cerebrovascular accident
giant aneurysm	causes	intracranial hemorrhage
giant aneurysm	causes	brain injury
giant aneurysm	causes	neurological disorder
giant aneurysm	causes	neurological disease
epilepsy	diagnoses	neurological disorder
hemodialysis	treats	kidney disease
expression	isa	biomedical text
breast cancer	treats	cancer
breast cancer	affects	breast tissue
stroke	causes	inflammation
compound	affects	eyesight
compound	diagnoses	constipation
compound	affects	headache
compound	diagnoses	dizziness
compound	associated_with	hepatoprotective effect
lac operon	induces	Escherichia coli
blindness	causes	visual impairment
caspase-3	causes	apoptosis
mammary fibroblasts	interacts_with	mammary epithelial cells
mammary fibroblasts	affects	mammary gland development
echocardiography	measures	cardiac function
hcv	diagnoses	hepatitis c
hcv	causes	hepatocellular carcinoma
coronary artery	part_of	cardiovascular system
dna	part_of	chromosome
dna	ingredient_of	nucleotides
gene	interacts_with	protein
iron deficiency	treats	iron supplementation
recurrence	isa	disease
hypertension	measurement_of	systolic blood pressure
hypertension	manifestation_of	arterial stiffness
hypertension	part_of	metabolic syndrome
hiv	isa	virus
covid-19	causes	acute respiratory failure
carotid artery	causes	atherosclerosis
2,4-dinitrophenol	affects	receptor sites
2,4-dinitrophenol	diagnoses	insulin resistance
2,4-dinitrophenol	ingredient_of	metabolic inhibitors
fetus	measurement_of	lung development
fetus	interacts_with	glucocorticosteroids
coronavirus disease 2019	causes	covid-19
hypertension	isa	disease
creatinine	diagnoses	glomerular filtration rate
creatinine	interacts_with	glomerular filtration
mitochondria	isa	cellular organelle
sperm	diagnoses	male infertility
recovery	affected_by	pulse responses
erythropoietin	treats	anemia
erythropoietin	affects	erythropoiesis
sorafenib	treats	hepatocellular carcinoma
crohn's disease	causes	inflammatory bowel disease
retina	part_of	eye
caloric restriction	ingredient_of	immune homeostasis
aorta	ingredient_of	cardiovascular system
hbv	interacts_with	interferon treatment
glucokinase	isa	enzyme
stroke	causes	cerebrovascular disease
stroke	causes	cardiovascular disease
stroke	causes	hemorrhagic stroke
stroke	causes	subarachnoid hemorrhage
oral anticoagulation	diagnoses	arterial thromboembolism
oral anticoagulation	ingredient_of	coumarines
oral anticoagulation	causes	arterial thromboembolism
oral anticoagulation	measurement_of	bleeding risk
oral anticoagulation	manifestation_of	bleeding risk
oral anticoagulation	treats	arterial thromboembolism
oral anticoagulation	affects	arterial thromboembolism
health communication	participates in	health campaigns
traumatic cataract	part_of	intraocular foreign bodies
atherosclerosis	causes	cardiovascular disease
hcc	causes	hepatocellular carcinoma
hcc	diagnoses	hepatocellular carcinoma
anesthesia	causes	loss of consciousness
ciprofloxacin	interacts_with	bacteria
stroke	affects	brain
dna	interacts_with	proteins
rubella	causes	congenital rubella syndrome
ulcerative colitis	diagnoses	inflammatory bowel disease
rheumatoid arthritis	affects	joint destruction
covid-19	affects	lung
vibrio alginolyticus	used_in	solar cells
vibrio alginolyticus	used_in	light emitting diodes
vibrio alginolyticus	used_in	nanomaterials
collagen	part_of	extracellular matrix
glucose	causes	diabetes
scoliosis	causes	spinal deformity
migraine	manifestation_of	headache
brain	interacts_with	neurotransmitters
spermatozoa	causes	infertility
uveitis	ingredient_of	medication
uveitis	part_of	eye disease
uveitis	treats	medication
uveitis	diagnoses	eye disease
htra	protease_domain	protein
filamentous fungi	causes	immune system disorders
filamentous fungi	causes	digestive system disorders
filamentous fungi	causes	respiratory system disorders
insulin	causes	diabetes mellitus
serotonin	isa	neurotransmitter
cow	ingredient_of	milk
repaglinide	measurement_of	blood glucose level
repaglinide	manifestation_of	hyperglycemia
repaglinide	diagnoses	diabetes mellitus
repaglinide	causes	insulin resistance
repaglinide	affects	blood glucose metabolism
repaglinide	ingredient_of	antidiabetic drug
repaglinide	part_of	medication
repaglinide	manifestation_of	hyperinsulinemia
repaglinide	associated_with	diabetes mellitus type ii
repaglinide	causes	insulin deficiency
repaglinide	ingredient_of	medicament
repaglinide	part_of	pharmaceutical
repaglinide	associated_with	diabetes mellitus
alzheimer's disease	ingredient_of	brain tissue
spleen	affects	immune system
mucosa	affects	digestion
muscle tissue	affects	digestion
growth rate	causes	genetic selection
anemia	causes	inflammatory disease
blood pressure	diagnoses	hypertension
copd	affects	quality of life
hiv	causes	sexual contact
antibacterial	ingredient_of	pharmaceutical formulation
antibacterial	causes	bacterial infection
antibacterial	associated_with	infection control
antibacterial	part_of	antibiotic therapy
antibacterial	treats	bacterial infection
antibacterial	affects	bacterial growth
antibacterial	diagnoses	bacterial infection
leaf area index	measured_by	gas exchange
cell cycle	isa	biological process
placenta	part_of	pregnancy
cholesterol	causes	hypertension
antimutagenesis	causes	carcinogenicity
antimutagenesis	causes	allergy
antimutagenesis	causes	cytotoxicity
antimutagenesis	causes	epoxide hydrolase
antimutagenesis	causes	glutathione transferases
antimutagenesis	causes	dihydrodiol
antimutagenesis	causes	structural elements
antimutagenesis	causes	microsomal monooxygenases
hiv	diagnoses	immune dysfunction
hiv	ingredient_of	chronic immune activation
hiv	measures	viral load
hiv	causes	cognitive impairment
bacteriuria	causes	urinary tract infection
calcium	measurement_of	serum calcium level
calcium	causes	familial hypocalciuric hypercalcemia
calcium	causes	idiopathic hypercalcemia
calcium	causes	medullary carcinoma of the thyroid
calcium	causes	hyperparathyroidism
calcium	causes	primary hyperparathyroidism
calcium	causes	secondary hyperparathyroidism
calcium	causes	hypoparathyroidism
calcium	causes	pseudohypoparathyroidism
depression	diagnoses	mental disorder
tuberculosis	causes	death
metabolism	isa	biological process
patients	affects	quality of life
angina pectoris	causes	coronary artery disease
spleen	part_of	body
burkholderia pseudomallei	causes	melioidosis
gene expression	isa	biological process
plasma	measurement_of	blood
antidepressants	treats	depression
acute bronchitis	diagnoses	bacterial infection
fetal therapy	ingredient_of	pleural effusion fluid
fetal therapy	part_of	pleural effusion fluid
fetal therapy	measurement_of	pleural effusion fluid
fetal therapy	manifestation_of	pleural effusion fluid
aids	affects	immune system
aids	diagnoses	hiv infection
perr	causes	human pathogen
venous thromboembolism	causes	deep vein thrombosis
thyroiditis	associated_with	immune checkpoint inhibitors
thyroiditis	ingredient_of	immune checkpoint inhibitors
trail	causes	apoptosis
amidase	causes	nitrile hydratase
amidase	causes	structural gene
amidase	causes	chromosome
intussusception	causes	abdominal distension
intussusception	causes	nausea
intussusception	causes	vomiting
intussusception	causes	diarrhea
intussusception	causes	constipation
intussusception	causes	fever
intussusception	causes	anemia
intussusception	causes	leukocytosis
intussusception	causes	hyperbilirubinemia
intussusception	causes	abdominal mass
intussusception	causes	mucinous cystadenoma
intussusception	causes	postoperative complication
intussusception	causes	abdominal radiography
intussusception	causes	abdominal computed tomography
intussusception	causes	abdominal magnetic resonance imaging
dissection	isa	biomedical text
inhaled corticosteroids	treats	asthma
head	relation	tail
pharmacist	interacts_with	patient
cisplatin	ingredient_of	chemotherapy
promoter	isa	gene
physician	interacts_with	patient
application	isa	biomedical text
hmm	affects	enzyme
hmm	measured_by	enzyme
hmm	causes	enzyme
drug	cd	development
drug	cd	oral
drug	cd	delivery
drug	cd	complex
drug	cd	precipitation
drug	cd	absorption
acute kidney injury	causes	renal vein thrombosis
smoking	ingredient_of	tobacco products
epididymis	part_of	male reproductive system
metabolic syndrome	affects	cardiovascular disease
ketamine	causes	dissociative anesthesia
trem-1	part_of	endothelial cells
trem-1	measured_by	inflammatory response
trem-1	manifestation_of	inflammatory response
trem-1	targeted_to	endothelium
microglia	interacts_with	neurons
pancreatic mass	diagnoses	pancreatic cancer
imaging parameters	measurement_of	pancreatic mass
liver	causes	liver disease
acute myocardial infarction	causes	death
glaucoma	isa	disease
breast cancer	ingredient_of	chemotherapy
cap	part_of	actin stress fibers
listeria monocytogenes	causes	listeriosis
influenza virus	causes	influenza
carotid endarterectomy	diagnoses	carotid stenosis
carotid endarterectomy	ingredient_of	surgical instruments
carotid endarterectomy	causes	postoperative complications
carotid endarterectomy	manifestation_of	stroke
carotid endarterectomy	part_of	cardiovascular system
carotid endarterectomy	treats	carotid stenosis
carotid endarterectomy	affects	cerebral blood flow
carotid endarterectomy	manifestation_of	postoperative complications
filgrastim	causes	neutropenia
filgrastim	affects	bone marrow
filgrastim	diagnoses	neutropenia
filgrastim	causes	febrile neutropenia
filgrastim	affects	neutrophil count
filgrastim	diagnoses	febrile neutropenia
filgrastim	causes	acute myeloid leukemia
filgrastim	affects	myeloid cells
filgrastim	diagnoses	acute myeloid leukemia
stroke	affects	patients
arsenic	affects	cardiovascular risk
arsenic	causes	cardiovascular risk
hypertension	affects	cardiovascular disease
pancratistatin	synthesis_of	m-chloroperbenzoic acid
pancratistatin	synthesis_of	benzyl esters
pancratistatin	synthesis_of	acetate groups
melatonin	isa	hormone
caries	diagnoses	dental caries
progesterone	diagnoses	pregnancy
influenza	causes	respiratory illness
mycoplasma hyopneumoniae	causes	enzootic pneumonia
mycoplasma hyopneumoniae	causes	pigs
rabies	affects	brain
chicken embryo	diagnoses	infectious bronchitis virus
osteoporosis	causes	bone loss
cdg	causes	Diamond-Blackfan anemia
heart	affects	cardiovascular function
heart	ingredient_of	cardiovascular system
kidney	part_of	renal system
crohn's disease	causes	postoperative period
rabbit	diagnoses	pulmonary thromboembolism
rabbit	measures	pulmonary thromboembolism
rabbit	manifests_as	pulmonary thromboembolism
rabbit	causes	pulmonary thromboembolism
tobacco	causes	lung cancer
phage	interacts_with	bacteria
spermatogenesis	part_of	spermatocytes
spermatogenesis	part_of	seminiferous tubules
hypervitaminosis a	affects	patients
hypervitaminosis a	diagnoses	vitamin a toxicity
polychlorinated biphenyls	affects	marine organism
chromophobe renal cell carcinoma	affects	renal function
chromophobe renal cell carcinoma	manifestation_of	renal mass
chromophobe renal cell carcinoma	ingredient_of	renal tissue
covid-19	manifestation_of	respiratory illness
coronavirus	causes	respiratory illness
morphine	affects	pain
cerebrospinal fluid	part_of	central nervous system
vaccination	isa	immunization
cadmium	causes	kidney damage
metallothionein	isa	protein
hemophilia	causes	bleeding disorder
tetanus	isa	disease
hair	measures	cortisol production
vaccination	causes	immunity
bleomycin	causes	pulmonary fibrosis
breast cancer	isa	disease
pertussis	affects	respiratory system
measles	ingredient_of	vaccine
infectious endocarditis	part_of	cardiovascular system
infectious endocarditis	measured_by	echocardiography
infectious endocarditis	part_of	cardiac anatomy
infectious endocarditis	treats	antibiotic therapy
infectious endocarditis	associated_with	cardiac rehabilitation
pregnancy	diagnoses	preeclampsia
foxo1	affects	muscle atrophy
foxo1	affects	muscle growth
foxo1	diagnoses	muscle atrophy
foxo1	diagnoses	muscle growth
foxo1	ingredient_of	muscle tissue
foxo1	part_of	muscle tissue
plasma	part_of	blood
propranolol	diagnoses	hypertension
neutrophils	causes	inflammation
neutrophils	associated_with	acute phase response
neutrophils	manifestation_of	fever
neutrophils	ingredient_of	leukocytes
neutrophils	causes	tissue damage
neutrophils	associated_with	infection
neutrophils	manifestation_of	pain
neutrophils	part_of	immune system cells
neutrophils	diagnoses	infectious disease
neutrophils	ingredient_of	immune system cells
reoperation	measured_by	recombinant human erythropoietin
reoperation	measured_by	cerebrovascular accident
reoperation	measured_by	stenting
reoperation	measured_by	cardiac surgery
partial liver resection	causes	hepatocellular carcinoma
partial liver resection	diagnoses	hepatocellular carcinoma
cadmium	causes	liver damage
cadmium	causes	skeletal muscle damage
cadmium	causes	pancreatic damage
cadmium	causes	bone damage
cadmium	causes	neurological damage
cadmium	causes	reproductive damage
stroke	affects	brain function
stroke	affects	cognitive function
insulin	isa	hormone
HIV	affects	immune system
HIV	diagnoses	HIV infection
drosophila melanogaster	isa	insect
pyelonephritis	affects	renal function
pyelonephritis	diagnoses	renal scarring
pyelonephritis	diagnoses	renal abscess
pyelonephritis	diagnoses	renal colic
pyelonephritis	diagnoses	renal vein thrombosis
p-glycoprotein	isa	protein
arabidopsis thaliana	isa	plant
osteoarthritis	causes	injury
osteoarthritis	causes	inflammation
osteoarthritis	causes	metabolic disorders
osteoarthritis	causes	infections
osteoarthritis	causes	autoimmune disorders
osteoarthritis	causes	nutritional deficiencies
osteoarthritis	causes	lack of exercise
osteoarthritis	causes	overweight
osteoarthritis	causes	genetic factors
hiv	causes	immune deficiency
accessory pathway	affects	atrioventricular conduction
accessory pathway	ingredient_of	pilot
zinc chloride	affects	hippocampus
zinc chloride	affects	infarction
zinc chloride	affects	neurotoxicity
zinc chloride	affects	necrosis
pain	affects	quality of life
enzyme	ingredient_of	protein complex
obesity	associated_with	insulin resistance
glucocerebrosidase	causes	lysosomal storage disease
glucocerebrosidase	causes	neurodegenerative disease
glucocerebrosidase	causes	cardiovascular disease
glucocerebrosidase	causes	cancer
glucocerebrosidase	causes	inflammatory disease
glucocerebrosidase	causes	immunodeficiency
glucocerebrosidase	causes	inborn error of metabolism
glucocerebrosidase	causes	lysosomal storage disorder
glucocerebrosidase	causes	metabolic disorder
pediatric cancer	affects	growth and development
adolescents	causes	treatment preference
adolescents	causes	treatment adherence
adolescents	causes	treatment compliance
hepatitis	affects	liver
allergen	interacts_with	immune system
psychotherapy	part_of	mental health treatment
hcv	causes	drug-induced liver injury
hcv	causes	autoimmune hepatitis
hcv	causes	primary biliary cholangitis
hcv	causes	primary sclerosing cholangitis
hcv	causes	non-alcoholic fatty liver disease
hcv	causes	alcoholic liver disease
hcv	causes	liver transplantation
hcv	causes	viral hepatitis
acute myocardial infarction	causes	cardiovascular disease
mast cell	isa	immune cell
creatine kinase	isa	enzyme
dithiocarbamates	causes	cancer
sarcoma	causes	cancer
glucose	measurement_of	blood glucose level
cornea	ingredient_of	collagen
insulin	measurement_of	blood glucose level
diabetes	affects	blood glucose levels
calcitonin	diagnoses	medullary thyroid carcinoma
kinectin	affects	spermatogenesis
kinectin	ingredient_of	testis
kinectin	measured_by	southern analysis
kinectin	associated_with	mammal species
ethanol	part_of	alcoholic beverages
lysine	causes	heart disease
lysine	causes	cancer
lysine	causes	diabetes
lysine	causes	obesity
lysine	causes	high blood pressure
lysine	causes	stroke
lysine	causes	alzheimer's disease
lysine	causes	parkinson's disease
lysine	causes	multiple sclerosis
lysine	causes	rheumatoid arthritis
lysine	causes	osteoporosis
lysine	causes	infertility
lysine	causes	premature aging
lysine	causes	hair loss
lysine	causes	anxiety
lysine	causes	depression
lysine	causes	schizophrenia
lysine	causes	autism
lysine	causes	asthma
lysine	causes	eczema
lysine	causes	psoriasis
lysine	causes	inflammatory bowel disease
lysine	causes	autoimmune disorders
lysine	causes	cardiovascular disease
ornithine decarboxylase	isa	enzyme
lithium	treats	bipolar disorder
screening	isa	medical screening
chromosomes	affects	head and neck squamous carcinoma
coat	interacts_with	water
coat	interacts_with	ethanol
coat	interacts_with	acetone
coat	interacts_with	chloroform
coat	interacts_with	methanol
coat	interacts_with	dichloromethane
coat	interacts_with	ethyl acetate
coat	interacts_with	n-hexane
coat	interacts_with	toluene
coat	interacts_with	xylene
coat	interacts_with	ethyl ether
coat	interacts_with	butanol
coat	interacts_with	propanol
inflammation	affects	brain
human embryonic stem cells	diagnoses	diseases
human embryonic stem cells	treats	diseases
human embryonic stem cells	part_of	medical field
interferon	causes	tissue injury
interferon	causes	respiratory viral infection
stuttering	diagnoses	speech disorder
covid-19	diagnoses	acute respiratory distress syndrome
covid-19	manifestation_of	fever
sevoflurane	ingredient_of	anesthesia
sevoflurane	part_of	anesthesia
kidney	diagnoses	kidney disease
kidney	treats	renal transplantation
kidney	ingredient_of	renal function
kidney	treats	renal replacement therapy
kidney	causes	renal cysts
kidney	causes	renal artery stenosis
kidney	diagnoses	kidney failure
p-glycoprotein	causes	drug resistance
hypertrophic cardiomyopathy	affects	heart
diabetes mellitus	causes	diabetic neuropathy
diabetes mellitus	causes	diabetic retinopathy
glioblastoma	causes	poor prognosis
albumin	ingredient_of	blood
regorafenib	treats	metastatic colorectal cancer
